transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,product_cost,gross_profit
T002656,S11,2025-04-22,Apparel,5.0,Stylehub,South,25.84,53.42,33.0,5.05,143.07,267.1,129.2,137.90000000000003
T002838,S02,2025-03-05,Grocery,5.0,Freshfarm,South,8.25,13.58,87.0,5.1,129.37,67.9,41.25,26.650000000000006
T000960,S11,,Apparel,2.0,Stylehub,South,25.8,53.51,131.0,3.01,90.63,107.02,51.6,55.419999999999995
T000224,S01,2025-03-22,Beauty,8.0,Glowworks,East,17.24,37.82,78.0,4.18,103.81,302.56,137.92,164.64000000000001
T002585,S19,2025-04-14,Sports,6.0,Activepro,South,53.28,103.18,49.0,5.15,116.63,619.08,319.68,299.40000000000003
T001539,S22,2025-04-02,Home,1.0,Budgetsource,South,47.42,95.75,38.0,5.5,133.5,95.75,47.42,48.33
T002230,S13,2025-06-07,Sports,3.0,Activepro,East,53.45,100.78,21.0,3.92,114.26,302.34000000000003,160.35000000000002,141.99
T002136,S26,2025-06-29,Apparel,1.0,Stylehub,West,30.79,61.27,26.0,2.93,84.86,61.27,30.79,30.480000000000004
T001620,S17,2025-03-14,Beauty,2.0,Glowworks,North,15.33,32.92,133.0,5.74,122.18,65.84,30.66,35.18000000000001
T001631,S07,2025-05-31,Electronics,4.0,Northstar,North,262.13,367.99,50.0,4.38,111.26,1471.96,1048.52,423.44000000000005
T000900,S06,2025-03-25,Beauty,6.0,Glowworks,East,18.97,44.13,128.0,3.68,99.03,264.78000000000003,113.82,150.96000000000004
T001519,S04,2025-03-17,Apparel,3.0,Stylehub,East,,79.33,42.0,3.61,113.62,237.99,,
T002817,S29,2025-04-25,Beauty,6.0,Glowworks,West,18.75,43.89,48.0,4.25,127.2,263.34000000000003,112.5,150.84000000000003
T002882,S19,2025-02-08,Food,3.0,Freshfarm,South,7.04,10.79,95.0,6.71,154.98,32.37,21.12,11.249999999999996
T002359,S17,2025-06-22,Grocery,6.0,Freshfarm,North,8.99,14.32,97.0,5.52,126.16,85.92,53.94,31.980000000000004
T000502,S08,2025-05-04,Electronics,3.0,Northstar,South,240.48,306.7,153.0,4.73,118.83,920.0999999999999,721.4399999999999,198.65999999999997
T001647,S23,2025-02-06,Beauty,2.0,Glowworks,South,20.41,47.16,116.0,3.57,103.46,94.32,40.82,53.49999999999999
T000799,S13,,Apparel,2.0,Stylehub,East,31.45,69.58,81.0,4.93,114.58,139.16,62.9,76.25999999999999
T001443,S02,2025-02-05,Electronics,2.0,Northstar,South,231.42,312.01,103.0,5.84,155.43,624.02,462.84,161.18
T000089,S29,2025-01-19,Electronics,1.0,Northstar,West,235.43,312.45,32.0,4.54,143.44,312.45,235.43,77.01999999999998
T000893,S27,2025-05-22,Beauty,1.0,Glowworks,West,18.75,41.65,42.0,4.98,137.68,41.65,18.75,22.9
T001315,S06,2025-04-11,Electronics,3.0,Northstar,East,235.94,312.92,83.0,4.8,101.63,938.76,707.8199999999999,230.94000000000005
T001777,S06,2025-04-16,Beauty,1.0,Glowworks,East,17.26,39.47,110.0,4.72,128.29,39.47,17.26,22.209999999999997
T001001,S09,2025-01-30,Grocery,9.0,Freshfarm,East,7.33,10.72,110.0,5.91,125.63,96.48,65.97,30.510000000000005
T000042,S12,2025-05-10,Grocery,4.0,Freshfarm,South,9.27,13.51,154.0,4.22,90.92,54.04,37.08,16.96
T000076,S20,2025-02-24,Electronics,4.0,Northstar,South,240.26,297.57,35.0,4.9,95.93,1190.28,961.04,229.24
T001384,S18,2025-02-09,Sports,3.0,Activepro,West,51.92,117.18,59.0,7.53,185.88,351.54,155.76,195.78000000000003
T001008,S15,2025-05-04,Grocery,5.0,Freshfarm,East,7.28,10.42,131.0,4.78,134.24,52.1,36.4,15.700000000000003
T002917,S05,2025-06-22,Home,2.0,Budgetsource,East,42.45,75.79,52.0,5.66,142.08,151.58,84.9,66.68
T000317,S21,2025-06-03,Electronics,3.0,Northstar,North,276.17,363.18,82.0,3.67,90.0,1089.54,828.51,261.03
T000231,S09,2025-02-25,Electronics,3.0,Northstar,East,258.35,368.22,47.0,2.58,61.09,1104.66,775.0500000000001,329.61
T000659,S25,2025-02-10,Food,2.0,Freshfarm,West,8.9,15.72,34.0,4.89,140.31,31.44,17.8,13.64
T002070,S17,2025-06-09,Apparel,2.0,Stylehub,North,27.74,59.5,148.0,2.26,47.36,119.0,55.48,63.52
T000512,S14,2025-04-19,Electronics,7.0,Northstar,West,245.84,310.28,29.0,5.41,156.85,2171.96,1720.88,451.0799999999999
T000077,S10,2025-03-09,Apparel,0.0,Stylehub,South,25.35,54.35,19.0,4.56,109.49,0.0,0.0,0.0
T002615,S22,2025-06-21,Electronics,1.0,Northstar,South,295.93,429.44,68.0,5.14,157.18,429.44,295.93,133.51
T002171,S08,2025-05-20,Electronic,4.0,Northstar,South,213.0,298.74,149.0,5.32,142.04,1194.96,852.0,342.96000000000004
T001037,S02,2025-03-06,Grocery,3.0,Freshfarm,South,8.73,12.74,38.0,5.78,140.78,38.22,26.19,12.029999999999998
T002433,S27,2025-05-07,Apparel,2.0,Stylehub,West,28.85,56.37,0.0,5.7,154.62,112.74,57.7,55.03999999999999
T001693,S08,2025-01-28,Electronics,1.0,Northstar,South,,247.22,101.0,6.15,165.26,247.22,,
T000242,S03,2025-05-01,Grocery,2.0,Freshfarm,North,7.01,12.3,51.0,3.4,76.77,24.6,14.02,10.580000000000002
T002035,S25,2025-03-06,Home,2.0,Budgetsource,West,55.74,111.58,20.0,3.15,96.71,223.16,111.48,111.67999999999999
T000019,S02,2025-04-12,Home,3.0,Budgetsource,South,51.47,91.54,17.0,4.56,143.75,274.62,154.41,120.21000000000001
T002183,S21,2025-01-26,Apparel,1.0,Stylehub,North,26.77,54.73,139.0,4.46,86.16,54.73,26.77,27.959999999999997
T000164,S17,2025-06-29,Electronics,2.0,Northstar,North,236.77,338.81,112.0,2.6,62.94,677.62,473.54,204.07999999999998
T002781,S04,2025-01-15,Home,2.0,Budgetsource,East,42.01,80.06,136.0,4.17,114.5,160.12,84.02,76.10000000000001
T002332,S08,2025-01-15,Home,1.0,Budgetsource,South,42.85,89.66,139.0,3.62,89.48,89.66,42.85,46.809999999999995
T001135,S11,2025-03-02,Groceries,1.0,Freshfarm,South,7.67,11.81,111.0,4.21,93.07,11.81,7.67,4.140000000000001
T000801,S22,2025-02-23,Apparel,5.0,Stylehub,South,31.68,58.71,104.0,4.11,96.0,293.55,158.4,135.15
T000342,S05,2025-04-16,Sports,2.0,Activepro,East,40.64,82.2,149.0,2.72,70.95,164.4,81.28,83.12
T001044,S17,2025-05-17,Electronics,2.0,Northstar,North,237.31,321.06,85.0,4.74,109.54,642.12,474.62,167.5
T001225,S04,2025-04-01,Home,7.0,Budgetsource,East,,70.03,145.0,3.8,85.28,490.21000000000004,,
T000332,S01,2025-01-10,Home,4.0,Budgetsource,East,44.88,92.67,121.0,4.57,121.3,370.68,179.52,191.16
T002226,S11,2025-03-29,Beauty,6.0,Glowworks,South,15.74,38.16,49.0,4.25,102.84,228.95999999999998,94.44,134.51999999999998
T001086,S01,2025-06-22,Sports,2.0,Activepro,East,56.99,113.08,104.0,4.06,97.28,226.16,113.98,112.17999999999999
T001990,S17,2025-05-21,Grocery,9.0,Freshfarm,North,7.71,11.37,124.0,5.23,136.88,102.33,69.39,32.94
T002381,S21,2025-01-21,Grocery,1.0,Freshfarm,North,8.81,13.04,138.0,3.06,97.85,13.04,8.81,4.229999999999999
T000928,S18,2025-03-30,Electronics,1.0,Northstar,West,207.02,258.92,13.0,4.31,149.5,258.92,207.02,51.900000000000006
T000027,S26,2025-01-02,Home,2.0,Budgetsource,West,45.17,91.68,26.0,5.26,183.36,183.36,90.34,93.02000000000001
T001830,S04,2025-04-11,Electronic,1.0,Northstar,East,260.64,330.54,146.0,4.53,96.95,330.54,260.64,69.90000000000003
T001734,S22,2025-03-04,Beauty,3.0,Glowworks,South,18.84,44.63,31.0,3.94,105.43,133.89000000000001,56.519999999999996,77.37000000000002
T000843,S02,2025-06-16,Home Goods,1.0,Budgetsource,South,,73.92,19.0,3.83,96.85,73.92,,
T002430,S08,2025-01-04,Electronics,2.0,Northstar,South,183.53,255.78,114.0,3.96,101.31,511.56,367.06,144.5
T002393,S02,2025-06-26,Grocery,7.0,Freshfarm,South,7.71,11.0,119.0,3.67,108.74,77.0,53.97,23.03
T000615,S01,2025-05-01,Sports,4.0,Activepro,East,51.56,88.07,117.0,2.23,55.16,352.28,206.24,146.03999999999996
T001084,S06,2025-02-21,Electronics,4.0,Northstar,East,204.45,310.65,154.0,4.0,100.01,1242.6,817.8,424.79999999999995
T000391,S28,2025-04-06,Apparel,6.0,Stylehub,West,26.02,54.47,54.0,3.87,131.94,326.82,156.12,170.7
T001030,S16,2025-05-10,Electronics,4.0,Northstar,South,240.36,342.95,80.0,4.64,146.23,1371.8,961.44,410.3599999999999
T000724,S05,2025-01-30,Grocery,3.0,Freshfarm,East,7.26,10.77,88.0,3.63,93.65,32.31,21.78,10.530000000000001
T000305,S15,2025-04-27,Home,7.0,Budgetsource,East,46.82,95.03,69.0,5.15,116.88,665.21,327.74,337.47
T000315,S26,2025-06-10,Beauty,2.0,Glowworks,West,18.9,41.66,50.0,,169.98,83.32,37.8,45.519999999999996
T000709,S27,2025-06-28,Apparel,1.0,Stylehub,West,27.61,59.17,23.0,5.27,143.67,59.17,27.61,31.560000000000002
T001160,S10,2025-02-14,Home,5.0,Budgetsource,South,53.23,96.29,111.0,4.25,96.14,481.45000000000005,266.15,215.30000000000007
T000809,S16,2025-02-17,Grocery,1.0,Freshfarm,South,7.9,13.31,12.0,2.96,61.86,13.31,7.9,5.41
T002301,S04,2025-05-18,Home,2.0,Budgetsource,East,50.43,99.26,,5.4,129.02,198.52,100.86,97.66000000000001
T001263,S30,2025-03-04,Grocery,5.0,Freshfarm,West,8.64,12.98,7.0,4.69,161.53,64.9,43.2,21.700000000000003
T001482,S22,2025-06-04,Beauty,9.0,Glowworks,South,20.91,51.73,73.0,3.79,108.75,465.57,188.19,277.38
T001162,S14,2025-02-05,Grocery,2.0,Freshfarm,West,8.08,13.25,36.0,3.71,124.62,26.5,16.16,10.34
T001985,S14,2025-06-01,Electronic,2.0,Northstar,West,319.05,424.08,52.0,2.14,69.84,848.16,638.1,210.05999999999995
T000921,S28,2025-01-14,Apparel,1.0,Stylehub,West,25.37,49.94,28.0,4.84,138.32,49.94,25.37,24.569999999999997
T002049,S17,2025-02-04,Home,2.0,Budgetsource,North,40.82,79.3,149.0,3.53,89.19,158.6,81.64,76.96
T000033,S29,2025-03-17,Apparel,3.0,Stylehub,West,32.53,62.2,21.0,6.14,199.95,186.60000000000002,97.59,89.01000000000002
T001379,S01,2025-05-19,Electronics,4.0,Northstar,East,193.66,262.13,140.0,6.69,158.99,1048.52,774.64,273.88
T000940,S13,2025-06-13,Grocery,1.0,Freshfarm,East,7.48,12.5,29.0,5.11,144.05,12.5,7.48,5.02
T001743,S16,2025-02-14,Home,4.0,Budgetsource,South,51.99,92.91,110.0,4.31,103.06,371.64,207.96,163.67999999999998
T000177,S16,2025-01-23,Grocery,4.0,Freshfarm,South,7.63,11.79,133.0,3.1,75.43,47.16,30.52,16.639999999999997
T001751,S27,2025-05-04,Grocery,2.0,Freshfarm,West,8.2,13.41,8.0,5.38,140.08,26.82,16.4,10.420000000000002
T001682,S24,2025-03-14,Home,3.0,Budgetsource,West,42.83,81.31,0.0,4.63,151.65,243.93,128.49,115.44
T002166,S28,2025-04-03,Home,7.0,Budgetsource,West,49.78,95.82,6.0,3.53,89.3,670.74,348.46000000000004,322.28
T002936,S20,2025-03-11,Clothing,2.0,Stylehub,South,28.28,58.0,40.0,3.08,99.92,116.0,56.56,59.44
T001524,S06,2025-04-23,Apparel,1.0,Stylehub,East,,75.8,130.0,2.61,81.42,75.8,,
T002115,S10,2025-04-10,Apparel,2.0,Stylehub,South,28.03,49.46,104.0,4.25,105.65,98.92,56.06,42.86
T001772,S23,2025-05-13,Clothing,1.0,Stylehub,South,27.7,59.32,100.0,5.1,119.59,59.32,27.7,31.62
T002265,S03,2025-03-29,Electronics,2.0,Northstar,North,282.17,384.37,62.0,4.84,136.24,768.74,564.34,204.39999999999998
T000561,S13,2025-06-05,Grocery,5.0,Freshfarm,East,8.71,13.48,93.0,3.57,84.11,67.4,43.550000000000004,23.85
T000264,S18,2025-04-24,Electronics,1.0,Northstar,West,274.63,346.71,42.0,4.9,157.88,346.71,274.63,72.07999999999998
T001009,S17,2025-05-23,Beauty,1.0,Glowworks,North,20.86,46.74,29.0,3.01,72.94,46.74,20.86,25.880000000000003
T001607,S12,2025-06-10,Electronics,1.0,Northstar,South,250.53,325.11,107.0,5.69,136.22,325.11,250.53,74.58000000000001
T002108,S08,2025-04-23,Beauty,6.0,Glowworks,South,19.25,42.61,47.0,4.61,108.42,255.66,115.5,140.16
T002704,S04,2025-05-18,Home,1.0,Budgetsource,East,50.54,96.12,30.0,3.81,85.46,96.12,50.54,45.580000000000005
T002871,S06,2025-05-03,Beauty,4.0,Glowworks,East,17.97,39.32,99.0,4.8,115.14,157.28,71.88,85.4
T000792,S28,2025-03-02,Electronics,7.0,Northstar,West,258.72,347.86,2.0,3.18,101.14,2435.02,1811.0400000000002,623.9799999999998
T001917,S03,2025-03-11,Grocery,5.0,Freshfarm,North,8.07,12.85,46.0,5.02,125.6,64.25,40.35,23.9
T002688,S06,2025-04-18,Electronics,7.0,Northstar,East,259.57,342.69,136.0,5.12,146.45,2398.83,1816.99,581.8399999999999
T000396,S10,2025-03-05,Electronics,1.0,Northstar,South,231.01,291.41,82.0,4.72,117.26,291.41,231.01,60.400000000000034
T001345,S21,2025-06-24,Grocery,1.0,Freshfarm,North,7.64,11.5,131.0,3.75,81.44,11.5,7.64,3.8600000000000003
T001210,S29,2025-02-05,Beauty,2.0,Glowworks,West,17.48,39.52,27.0,3.68,85.63,79.04,34.96,44.080000000000005
T002730,S07,2025-02-21,Apparel,2.0,Stylehub,North,28.47,62.32,18.0,4.91,116.47,124.64,56.94,67.7
T000461,S13,2025-04-24,Grocery,2.0,Freshfarm,East,7.53,12.21,135.0,3.09,84.4,24.42,15.06,9.360000000000001
T000613,S18,2025-02-14,Electronics,3.0,Northstar,West,272.07,350.03,20.0,7.05,246.92,1050.09,816.21,233.87999999999988
T000215,S12,2025-01-27,Electronics,5.0,Northstar,South,250.06,336.75,136.0,5.18,123.54,1683.75,1250.3,433.45000000000005
T000343,S19,2025-03-12,Sports,4.0,Activepro,South,56.57,107.68,49.0,3.01,68.49,430.72,226.28,204.44000000000003
T001274,S12,2025-04-23,Home,2.0,Budgetsource,South,43.98,85.5,10.0,3.39,99.7,171.0,87.96,83.04
T000697,S29,2025-04-26,Beauty,7.0,Glowworks,West,17.87,37.54,43.0,3.18,99.76,262.78,125.09,137.68999999999997
T002167,S18,2025-02-12,Grocery,2.0,Freshfarm,West,7.66,10.89,38.0,5.5,152.87,21.78,15.32,6.460000000000001
T001757,S01,2025-04-18,Electronics,3.0,Northstar,East,268.25,394.62,148.0,4.91,111.27,1183.8600000000001,804.75,379.1100000000001
T000635,S04,2025-03-25,Beauty,3.0,Glowworks,East,18.25,38.86,116.0,5.63,127.29,116.58,54.75,61.83
T001510,S20,2025-01-10,Electronics,3.0,Northstar,South,247.25,346.24,55.0,6.31,148.72,1038.72,741.75,296.97
T000947,S13,2025-06-14,Sports,2.0,Activepro,East,42.19,81.88,146.0,6.34,167.66,163.76,84.38,79.38
T000295,S22,2025-01-17,Electronics,4.0,Northstar,South,219.47,303.47,109.0,4.21,117.73,1213.88,877.88,336.0000000000001
T000488,S26,2025-01-16,Home,1.0,Budgetsource,West,39.73,77.03,51.0,3.48,107.5,77.03,39.73,37.300000000000004
T000720,S06,2025-01-19,Apparel,2.0,Stylehub,East,29.58,58.31,106.0,3.55,92.06,116.62,59.16,57.46000000000001
T002805,S01,2025-01-27,Home,1.0,Budgetsource,East,45.95,82.4,56.0,4.07,91.4,82.4,45.95,36.45
T000620,S05,2025-05-13,Apparel,2.0,Stylehub,East,31.47,61.58,56.0,5.04,124.69,123.16,62.94,60.22
T001709,S20,2025-05-15,Beauty,3.0,Glowworks,South,19.15,46.84,62.0,2.67,73.5,140.52,57.449999999999996,83.07000000000002
T002678,S06,2025-05-12,Electronics,1.0,Northstar,East,272.79,353.41,122.0,4.16,109.25,353.41,272.79,80.62
T001232,S13,2025-02-21,Grocery,3.0,Freshfarm,East,7.68,10.91,36.0,3.62,97.08,32.730000000000004,23.04,9.690000000000005
T002242,S11,2025-02-09,Grocery,4.0,Freshfarm,South,,12.49,155.0,3.94,115.45,49.96,,
T001850,S29,2025-05-27,Home,5.0,Budgetsource,West,45.5,85.86,58.0,5.16,167.99,429.3,227.5,201.8
T000754,S27,2025-01-02,Electronics,6.0,Northstar,West,252.96,343.94,60.0,4.55,128.85,2063.64,1517.76,545.8799999999999
T002810,S12,2025-02-22,Home,1.0,Budgetsource,South,46.11,86.97,70.0,5.27,102.94,86.97,46.11,40.86
T002571,S13,2025-03-20,Home,6.0,Budgetsource,East,45.26,88.52,34.0,6.31,131.11,531.12,271.56,259.56
T002312,S10,2025-04-18,Groceries,5.0,Freshfarm,South,9.11,13.26,44.0,4.62,100.77,66.3,45.55,20.75
T000256,S21,2025-01-27,Home,4.0,Budgetsource,North,42.63,80.96,49.0,4.45,124.03,323.84,170.52,153.31999999999996
T001700,S04,2025-01-25,Grocery,1.0,Freshfarm,East,7.73,11.47,131.0,4.23,121.34,11.47,7.73,3.74
T002199,S26,2025-04-28,Grocery,3.0,Freshfarm,West,8.69,13.43,56.0,6.66,186.08,40.29,26.07,14.219999999999999
T001842,S03,2025-02-12,Sports,2.0,Activepro,North,51.08,107.09,68.0,5.5,136.31,214.18,102.16,112.02000000000001
T000334,S29,2025-03-30,Home,4.0,Budgetsource,West,40.87,71.78,49.0,5.09,135.2,287.12,163.48,123.64000000000001
T001049,S21,2025-06-02,Groceries,3.0,Freshfarm,North,7.24,11.38,69.0,3.65,85.99,34.14,21.72,12.420000000000002
T001690,S17,2025-05-15,Apparel,7.0,Stylehub,North,29.52,58.78,124.0,4.19,106.73,411.46000000000004,206.64,204.82000000000005
